neoAgent.exe scan alive -t 10.44.96.1/24 --ping 
[*] Starting IP Alive Scan on 10.44.96.1/24...
IP           | Status | Latency
10.44.96.141 | UP     | N/A
10.44.96.140 | UP     | N/A
10.44.96.142 | UP     | N/A
10.44.96.137 | UP     | N/A
10.44.96.145 | UP     | N/A
10.44.96.147 | UP     | N/A
10.44.96.133 | UP     | N/A
10.44.96.138 | UP     | N/A
10.44.96.136 | UP     | N/A
10.44.96.132 | UP     | N/A
10.44.96.129 | UP     | N/A
10.44.96.150 | UP     | N/A
10.44.96.134 | UP     | N/A
10.44.96.130 | UP     | N/A
10.44.96.144 | UP     | N/A
10.44.96.143 | UP     | N/A
10.44.96.146 | UP     | N/A
10.44.96.149 | UP     | N/A
10.44.96.183 | UP     | N/A
10.44.96.135 | UP     | N/A
10.44.96.180 | UP     | N/A
10.44.96.160 | UP     | N/A
10.44.96.148 | UP     | N/A
10.44.96.131 | UP     | N/A
